1986:05	 6.330000	 6.470000		
1986:06	 6.400000	 6.560000		
1986:07	 6.000000	 6.120000		
1986:08	 5.690000	 5.790000		
1986:09	 5.350000	 5.570000		
1986:10	 5.320000	 5.480000		
1986:11	 5.500000	 5.640000		
1986:12	 5.680000	 5.780000		
1987:01	 5.580000	 5.670000		
1987:02	 5.750000	 5.830000		
1987:03	 5.770000	 5.860000		
1987:04	 5.820000	 6.190000		
1987:05	 5.850000	 6.350000		
1987:06	 5.850000	 6.280000		
1987:07	 5.880000	 6.050000		
1987:08	 6.230000	 6.460000		
1987:09	 6.620000	 6.990000		
1987:10	 6.350000	 7.040000		
1987:11	 5.890000	 6.500000		
1987:12	 5.960000	 6.680000		
1988:01	 6.000000	 6.560000		
1988:02	 5.840000	 6.210000		
1988:03	 5.870000	 6.180000		
1988:04	 6.080000	 6.500000		
1988:05	 6.450000	 6.890000		
1988:06	 6.660000	 7.040000		
1988:07	 6.950000	 7.350000		
1988:08	 7.300000	 7.790000		
1988:09	 7.480000	 7.820000		
1988:10	 7.600000	 7.900000		
1988:11	 8.030000	 8.300000		
1988:12	 8.350000	 8.700000		
1989:01	 8.560000	 8.850000		
1989:02	 8.840000	 9.050000		
1989:03	 9.140000	 9.390000		
1989:04	 8.960000	 9.170000		
1989:05	 8.740000	 8.910000		
1989:06	 8.430000	 8.380000		
1989:07	 8.150000	 8.010000		
1989:08	 8.170000	 8.170000		
1989:09	 8.010000	 8.160000		
1989:10	 7.900000	 8.030000		
1989:11	 7.940000	 7.890000		
1989:12	 7.880000	 7.810000		
1990:01	 7.900000	 7.960000		
1990:02	 8.000000	 8.120000		
1990:03	 8.170000	 8.280000		
1990:04	 8.040000	 8.270000		
1990:05	 8.010000	 8.190000		
1990:06	 7.990000	 8.050000		
1990:07	 7.870000	 7.920000		
1990:08	 7.690000	 7.770000		
1990:09	 7.600000	 7.700000		
1990:10	 7.400000	 7.530000		
1990:11	 7.290000	 7.390000		
1990:12	 6.950000	 7.030000		
1991:01	 6.410000	 6.580000		
1991:02	 6.120000	 6.190000		
1991:03	 6.090000	 6.200000		
1991:04	 5.830000	 5.980000		
1991:05	 5.630000	 5.870000		
1991:06	 5.750000	 6.020000		
1991:07	 5.750000	 5.970000		
1991:08	 5.500000	 5.630000		
1991:09	 5.370000	 5.480000		
1991:10	 5.140000	 5.260000		
1991:11	 4.690000	 4.800000		
1991:12	 4.180000	 4.260000		
1992:01	 3.910000	 4.010000		
1992:02	 3.950000	 4.080000		
1992:03	 4.140000	 4.330000		
1992:04	 3.840000	 4.000000		
1992:05	 3.720000	 3.880000		
1992:06	 3.750000	 3.900000		
1992:07	 3.280000	 3.380000		
1992:08	 3.200000	 3.310000		
1992:09	 2.970000	 3.040000		
1992:10	 2.930000	 3.130000		
1992:11	 3.210000	 3.440000		
1992:12	 3.290000	 3.470000		
1993:01	 3.070000	 3.240000		
1993:02	 2.990000	 3.160000		
1993:03	 3.010000	 3.150000		
1993:04	 2.930000	 3.060000		
1993:05	 3.030000	 3.170000		
1993:06	 3.140000	 3.290000		
1993:07	 3.110000	 3.260000		
1993:08	 3.090000	 3.240000		
1993:09	 3.010000	 3.150000		
1993:10	 3.090000	 3.220000		
1993:11	 3.180000	 3.360000		
1993:12	 3.130000	 3.340000		
1994:01	 3.040000	 3.250000		
1994:02	 3.330000	 3.530000		
1994:03	 3.590000	 3.920000		
1994:04	 3.780000	 4.250000		
1994:05	 4.270000	 4.790000		
1994:06	 4.250000	 4.720000		
1994:07	 4.460000	 4.950000		
1994:08	 4.610000	 5.080000		
1994:09	 4.750000	 5.240000		
1994:10	 5.100000	 5.620000		
1994:11	 5.450000	 5.980000		
1994:12	 5.760000	 6.500000		
1995:01	 5.900000	 6.510000		
1995:02	 5.940000	 6.310000		
1995:03	 5.910000	 6.170000		
1995:04	 5.840000	 6.050000		
1995:05	 5.850000	 5.930000		
1995:06	 5.640000	 5.660000		
1995:07	 5.590000	 5.620000		
1995:08	 5.570000	 5.650000		
1995:09	 5.430000	 5.540000		
1995:10	 5.440000	 5.560000		
1995:11	 5.520000	 5.510000		
1995:12	 5.290000	 5.350000		
1996:01	 5.150000	 5.130000		
1996:02	 4.960000	 4.970000		
1996:03	 5.100000	 5.160000		
1996:04	 5.090000	 5.270000		
1996:05	 5.150000	 5.330000		
1996:06	 5.230000	 5.460000		
1996:07	 5.300000	 5.520000		
1996:08	 5.190000	 5.340000		
1996:09	 5.240000	 5.450000		
1996:10	 5.120000	 5.320000		
1996:11	 5.170000	 5.270000		
1996:12	 5.040000	 5.240000		
1997:01	 5.170000	 5.310000		
1997:02	 5.140000	 5.270000		
1997:03	 5.280000	 5.480000		
1997:04	 5.300000	 5.600000		
1997:05	 5.200000	 5.530000		
1997:06	 5.070000	 5.340000		
1997:07	 5.190000	 5.330000		
1997:08	 5.280000	 5.400000		
1997:09	 5.080000	 5.300000		
1997:10	 5.110000	 5.300000		
1997:11	 5.280000	 5.380000		
1997:12	 5.300000	 5.450000		
1998:01	 5.180000	 5.230000		
1998:02	 5.230000	 5.270000		
1998:03	 5.160000	 5.250000		
1998:04	 5.080000	 5.260000		
1998:05	 5.140000	 5.360000		
1998:06	 5.120000	 5.320000		
1998:07	 5.090000	 5.230000		
1998:08	 5.040000	 5.150000		
1998:09	 4.740000	 4.810000		
1998:10	 4.070000	 4.200000		
1998:11	 4.530000	 4.590000		
1998:12	 4.500000	 4.570000		
1999:01	 4.450000	 4.490000		
1999:02	 4.560000	 4.610000		
1999:03	 4.570000	 4.650000		
1999:04	 4.410000	 4.540000		
1999:05	 4.630000	 4.750000		
1999:06	 4.720000	 5.030000		
1999:07	 4.690000	 4.750000		
1999:08	 4.870000	 5.090000		
1999:09	 4.820000	 5.080000		
1999:10	 5.020000	 5.200000		
1999:11	 5.230000	 5.430000		
1999:12	 5.360000	 5.680000		
2000:01	 5.500000	 5.760000		
2000:02	 5.730000	 6.000000		
2000:03	 5.860000	 6.110000		
2000:04	 5.820000	 6.070000		
2000:05	 5.990000	 6.390000		
2000:06	 5.860000	 6.240000		
2000:07	 6.140000	 6.270000		
2000:08	 6.280000	 6.350000		
2000:09	 6.180000	 6.250000		
2000:10	 6.290000	 6.320000		
2000:11	 6.360000	 6.340000		
2000:12	 5.940000	 5.920000		
2001:01	 5.290000	 5.150000		
2001:02	 5.010000	 4.890000		
2001:03	 4.540000	 4.440000		
2001:04	 3.970000	 3.990000		
2001:05	 3.700000	 3.740000		
2001:06	 3.570000	 3.560000		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
